video_id	title	uploader	duration_seconds	url
983bBbJx0Mk	"Soda Pop" Official Lyric Video | KPop Demon Hunters | Sony Animation	Sony Pictures Animation	171	https://www.youtube.com/watch?v=983bBbJx0Mk
a9Fhoddxu2U	Javier Canto - Afternoon Sunset	Relax Chillout Music	173	https://www.youtube.com/watch?v=a9Fhoddxu2U
vUFQ0pSOLvE	Jkyl & Hyde - Sensory Session (lyric video)	Jkyl & Hyde	194	https://www.youtube.com/watch?v=vUFQ0pSOLvE
8rd1hDqy5nM	Daniel Caesar - Baby Blue feat. Norwill Simmonds (Official Lyric Video)	Daniel Caesar	358	https://www.youtube.com/watch?v=8rd1hDqy5nM
SXMH3tgKd7o	One Last Time - Ariana Grande (Acoustic cover by Emily Linge)	Emily Linge	248	https://www.youtube.com/watch?v=SXMH3tgKd7o
TvVtYaqCni8	LE SSERAFIM (르세라핌) 'SPAGHETTI (feat. j-hope of BTS)' OFFICIAL MV	HYBE LABELS	199	https://www.youtube.com/watch?v=TvVtYaqCni8
1IXyuEUzZHA	Tuğkan - Bana Öyle Geliyor	Tuğkan	207	https://www.youtube.com/watch?v=1IXyuEUzZHA
AMuE0ZEvWeg	Lazy Daze - All Below (Official Video)	Lazy Daze	319	https://www.youtube.com/watch?v=AMuE0ZEvWeg
pzWPNaQH4G8	Diwas Gurung - Jameko (Official Lyric Video)	diwas gurung	257	https://www.youtube.com/watch?v=pzWPNaQH4G8
g-kQq-Efxds	Like a Bird	Gardens & Villa	216	https://www.youtube.com/watch?v=g-kQq-Efxds
PpaXyDSFG9M	Micra - After Dark (Visualiser)	Micra Micra	214	https://www.youtube.com/watch?v=PpaXyDSFG9M
W4ortosB55c	Admiral Freebee - Coming Of The Light	AdmiralFreebeeVEVO	194	https://www.youtube.com/watch?v=W4ortosB55c
tqLUwAdjuC0	Placid Cactus - Summer's Gone [Visualizer]	Placid Cactus	243	https://www.youtube.com/watch?v=tqLUwAdjuC0
ErpaWn9aioE	Your Echo (To Remember)	Hibou - Topic	224	https://www.youtube.com/watch?v=ErpaWn9aioE
clgYjmu9T5k	falling	Mora Michelle	193	https://www.youtube.com/watch?v=clgYjmu9T5k
sxX_roI6w9k	morgen - Lilee (Official Video)	morgen	205	https://www.youtube.com/watch?v=sxX_roI6w9k
X5AXrdT9xHI	Curious Sun	Gardens & Villa	177	https://www.youtube.com/watch?v=X5AXrdT9xHI
Y8UpZF1BwXQ	Gris - Camilo Séptimo	CAMILO SÉPTIMO	222	https://www.youtube.com/watch?v=Y8UpZF1BwXQ
1z1i4ANqMec	Travis Scott, Beyoncé - Delresto (Echoes) [Visualizer]	Album Digs	275	https://www.youtube.com/watch?v=1z1i4ANqMec
UV1_yKiiZmw	Driving	Sole Sole - Topic	135	https://www.youtube.com/watch?v=UV1_yKiiZmw
Ve_a9CXjlQc	“Takedown” KPop Demon Hunters (Soundtrack from the Netflix Film) | HUNTR/X	Republic Records	182	https://www.youtube.com/watch?v=Ve_a9CXjlQc
TbMEMCvFbZk	"What It Sounds Like " | Official Song Clip | KPop Demon Hunters | Sony Animation	Sony Pictures Animation	153	https://www.youtube.com/watch?v=TbMEMCvFbZk
Eby9URfZBr4	Alan Walker, Justin Bieber, Coldplay, Avicii & Kygo Style🍉Best Popular Songs 2025🍉Summer Vibes	Chase The Deep	6697	https://www.youtube.com/watch?v=Eby9URfZBr4
